,participant,cath,score
0,pp1,ASQ_1,7
1,pp2,ASQ_1,7
2,pp3,ASQ_1,9
3,pp4,ASQ_1,6
4,pp5,ASQ_1,7
5,pp6,ASQ_1,7
6,pp7,ASQ_1,9
7,pp8,ASQ_1,6
8,pp9,ASQ_1,3
9,pp10,ASQ_1,6
10,pp11,ASQ_1,8
11,pp12,ASQ_1,8
12,pp13,ASQ_1,5
13,pp14,ASQ_1,9
14,pp15,ASQ_1,7
15,pp16,ASQ_1,5
16,pp17,ASQ_1,9
17,pp18,ASQ_1,6
18,pp19,ASQ_1,5
19,pp20,ASQ_1,6
20,pp21,ASQ_1,8
21,pp22,ASQ_1,8
22,pp23,ASQ_1,8
23,pp24,ASQ_1,8
24,pp25,ASQ_1,7
25,pp26,ASQ_1,8
26,pp27,ASQ_1,8
27,pp1,ASQ_2,8
28,pp2,ASQ_2,8
29,pp3,ASQ_2,9
30,pp4,ASQ_2,8
31,pp5,ASQ_2,8
32,pp6,ASQ_2,9
33,pp7,ASQ_2,9
34,pp8,ASQ_2,7
35,pp9,ASQ_2,4
36,pp10,ASQ_2,7
37,pp11,ASQ_2,9
38,pp12,ASQ_2,8
39,pp13,ASQ_2,4
40,pp14,ASQ_2,9
41,pp15,ASQ_2,8
42,pp16,ASQ_2,5
43,pp17,ASQ_2,9
44,pp18,ASQ_2,6
45,pp19,ASQ_2,6
46,pp20,ASQ_2,6
47,pp21,ASQ_2,7
48,pp22,ASQ_2,8
49,pp23,ASQ_2,8
50,pp24,ASQ_2,9
51,pp25,ASQ_2,7
52,pp26,ASQ_2,7
53,pp27,ASQ_2,8
54,pp1,ASQ_3,8
55,pp2,ASQ_3,5
56,pp3,ASQ_3,5
57,pp4,ASQ_3,4
58,pp5,ASQ_3,7
59,pp6,ASQ_3,6
60,pp7,ASQ_3,6
61,pp8,ASQ_3,6
62,pp9,ASQ_3,4
63,pp10,ASQ_3,4
64,pp11,ASQ_3,6
65,pp12,ASQ_3,7
66,pp13,ASQ_3,6
67,pp14,ASQ_3,9
68,pp15,ASQ_3,7
69,pp16,ASQ_3,5
70,pp17,ASQ_3,9
71,pp18,ASQ_3,7
72,pp19,ASQ_3,7
73,pp20,ASQ_3,6
74,pp21,ASQ_3,8
75,pp22,ASQ_3,8
76,pp23,ASQ_3,8
77,pp24,ASQ_3,9
78,pp25,ASQ_3,9
79,pp26,ASQ_3,7
80,pp27,ASQ_3,8
